abv,beer_desc,beer_img,beer_name,beer_rank,beer_style,brewer,est_cal,ibu,mean,overall_score,review_count,state,style_score,wgt_avg
,,,Kona Coconut Brown Ale,25,Brown Ale,Kona Brewing Company,,165,3.59/5.0,83,12,HAWAII,93,3.43
6.2%,"Hop Dog is a fresh Hop pale ale. Brewed once a year at harvest season, it is a Light hoppy pale ale with lots of green grassy hop notes.",/upload/post.asp?m=1&Id=94526,Laughing Dog Hop Dog Harvest Pale Ale,25,American Pale Ale,Laughing Dog Brewing,186,,3.69/5.0,94,27,IDAHO,97,3.59
,American barleywine aged with cherries in wood.,/upload/post.asp?m=1&Id=80385,Three Floyds Behemoth - Bourbon & Cherries,25,Barley Wine,Three Floyds Brewing Company,,375,/,99,72,INDIANA,97,
,"A play on Josh’s name, this Russian imperial stout is aged in four different types of bourbon barrels (Old Fitzgerald, Old Forester, Elijah Craig, and Evan Williams), then blended for the resulting thick and dark brew. If you had a chance to taste Alderaan, this is the aged version.",,Revolution Deth's Tar,25,Imperial Stout,Revolution Brewing Company,,342,/,99,142,ILLINOIS,91,
,,,Toppling Goliath Galaxy Dry Hopped pseudoSue,25,American Pale Ale,Toppling Goliath,,174,3.91/5.0,98,19,IOWA,99,3.75
,"This beer employs a blend of 5 malts and some unmalted oats that add some silky qualities to the mouthfeel. Columbus and Crystal hops provide bitterness and some flavor. A relatively new hop variety called Citra, with tropical fruit and citrus aromas and flavors, provides the amazing finish of this IPA.

Josiah Miller was an anti-slavery man born and raised in the South Carolina. In the 1850s Miller migrated to Lawrence after receiving a law degree at the University of Indiana and started the publication of Kansas Free State, an anti-slavery newspaper. In 1857 he was elected probate judge of Douglas County and was a member of the first state senate in 1861. As chairman of the judiciary committee, Miller suggested the motto on the state seal, Ad Astra per Aspera. Miller was interned at Lawrence’s Oak Hill cemetery upon his death in 1870 due to complications from an amputated leg.",/upload/post.asp?m=1&Id=118114,Free State Josiah Miller IPA,25,India Pale Ale (IPA),Free State Brewing Company,,189,3.68/5.0,90,18,KANSAS,85,3.55
11%,71 IBUs,,Bluegrass Russian Imperial Porter,25,Imperial Porter,Bluegrass Brewing Company,330,,/,94,96,KENTUCKY,52,
,"Quaff Bros. Chicago Style Breakfast Stout is a take on French Toast, Chicago style French Toast with loads of syrup, powder sugar and a wonderful cup of coffee to coincide. But this French Toast, much like the beer, is very unique. It also includes a runny egg in the middle, fried chicken and strawberries. Although we left out the egg and chicken (this time), we made sure that a touch of strawberry made it into the beer. Quaff Bros. Chicago Style Breakfast Stout is a 14.7% ABV Stout aged in Bourbon barrels with molasses, coffee and a touch of strawberry. This project was made for us by the talented team at Rivertown and we want to use this platform to thank them for their wonderful work and execution.",/upload/post.asp?m=1&Id=454732,Quaff Bros. Chicago Style Breakfast Stout,24,Imperial Stout,Quaff Bros.,,441,3.86/5.0,94,11,KENTUCKY,47,3.63
,Quaff Bros. Catalina Wine Mixer is a collaboration with Against The Grain. It is ATG 70K (13% ABV Imperial Stout) aged in Bourbon Barrels with the addition of Red Wine soaked oak chips.,,Quaff Bros. Catalina Wine Mixer,23,Imperial Stout,Quaff Bros.,,390,3.9/5.0,94,10,KENTUCKY,47,3.63
11%,"American Style barleywine: so named because of its high, wine-like alcohol content and the usage of American hops. Deep amber in color and full bodied, with a blend of fruitiness, maltiness and hop bitterness to balance.",,Bluegrass Bearded Pats Barleywine Style Ale,22,Barley Wine,Bluegrass Brewing Company,330,,/,95,179,KENTUCKY,74,
9%,Imperial Black Ale. Red wine barrel aged.,,Against the Grain Gnight Ryder,21,Black IPA,Against the Grain Brewery,270,,/,95,45,KENTUCKY,90,
13%,"Russian Imperial Stout Aged in Bourbon Barrels.   Part of the ""Stave It For Later - Barrel Series"".",/upload/post.asp?m=1&Id=536583,Against the Grain Pretty Willie's Imperial Stout,20,Imperial Stout,Against the Grain Brewery,390,,3.94/5.0,95,10,KENTUCKY,51,3.66
8.2%,"An India Pale Ale featuring Nelson Sauvin hops. Named after the Sauvignon Blanc grape, is a variety of hop developed and grown in New Zealand. It has a strong fruity flavor and aroma that is described as resembling white wine, or fresh crushed grapes or gooseberries. Some reviewers of this hop perceive the fruitiness as being very tropical with deScriptions including passion fruit, tangerines, and grapefruit.",,Against the Grain Rico Sauvin,19,Imperial IPA,Against the Grain Brewery,246,68,/,95,259,KENTUCKY,82,
8.2%,"This beer is not candy or mother’s milk. It is not brewed by gypsies or aliens, nor does it contain any zombie dirt. This is an American Style IPA brewed with Citra Hops. It is citrusy, sticky, hoppy and delicious. Simply drink it and enjoy it. Don’t hoard this beer, Citra Ass Down and drink it now.",,Against the Grain Citra Ass Down,18,Imperial IPA,Against the Grain Brewery,246,68,/,96,431,KENTUCKY,83,
7%,"Not your typical ""Jelly of the Month Club"" beer. Dark roasted malt and bittersweet cocoa and coffee flavor and aroma burst from this pitch black milk stout. The full body and sweetness are derived from the addition of lactose (aka milk sugar) which is not fermentable by beer yeast. A healthy dose of English Kent Goldings hops provides a counterpoint to this ale’s rich and complex maltiness.",,Against the Grain 35K Stout,17,Sweet Stout,Against the Grain Brewery,210,26,/,96,330,KENTUCKY,96,
9.5%,"Double brown ale aged in bourbon barrels in honor of the greatest rock and roll band on this or any other time: JACKYL. Drinking this fine beer will make you feel like the sun is shining down on you, and the heat of love’s flames, down on you. You’ll love the thought of me coming... down on you. This is only weird if you make it that way.
PS. We won’t make any beers about pussy rock ballads, I promise!",,Against the Grain Jackyale,16,Brown Ale,Against the Grain Brewery,285,35,3.84/5.0,96,19,KENTUCKY,99,3.69
12.5%,"This big barleywine is malty and chewy as well as packed full of aromatic and flavorful New Zealand hops.  Over a ton of malt went into the mash on this beast.  Pale malt forms the base and additions of wheat, Victory malt, and British caramel malt give a complex character that comes through as toffee, caramel, and dark fruits.  A blend of Pacific Gem, Topaz, Wakatu, Motueka, and Nelson Sauvin hops lend notes of vanilla, tropical fruits, earthy spice, and citrus.  There’s a lot going on here, just like in the Lord of the Rings.  Take your time, and enjoy it all!",/upload/post.asp?m=1&Id=205477,Against the Grain The Green Dragon,15,Barley Wine,Against the Grain Brewery,375,115,/,96,52,KENTUCKY,83,
12%,Our imperial stout aged in 20 year pappy van winkle barrels.,/upload/post.asp?m=1&Id=200777,West Sixth Snakes In A Barrel ,14,Imperial Stout,West Sixth Brewing Company,360,,3.97/5.0,96,10,KENTUCKY,58,3.69
,"This American-style imperial stout is strong at an 11% ABV, but not too chewy for a high gravity beer.  Malt bill includes 8 different grains for complexity, and it’s hopped with Northern Brewer and Columbus hops.",,West Sixth Snake Eyes Imperial Stout ,13,Imperial Stout,West Sixth Brewing Company,,330,3.79/5.0,97,38,KENTUCKY,64,3.71
,This wild red ale (Flanders Red) has been maturing in American oak barrels for 2 years with additions of wild yeast and bacteria. Distinct wine-like notes of plum and raisin are backed up by a subtle tartness with an underlying foundation of caramel malt and oak tannin,,Country Boy 4th Anniversary Wild Red Ale,12,Sour Red/Brown,Country Boy Brewing,,270,3.93/5.0,97,13,KENTUCKY,84,3.71
,"A solid dose of light pilsner malt along with a variety of
similarly undermodified German-style malts gave us a
crisp, clean base to work with. Then we got it All
Funked Up. Generous additions of Apollo and
Vanguard hops created a substantial flavor of citrus
peel and floral spice as well as plenty of IBUs for such
a mild malt bill. Ale yeast was then used for primary
fermentation before adding a blend of three strains of
Brettanomyces. These superattenuating little bugs
were allowed to thoroughly ferment out many complex
sugars and leave behind their characteristic (and very
apparent) wild and funky flavors. After about four and
a half months, we added a fresh addition of whole leaf
Amarillo hops that spent about a week imparting a
citrusy, almost candylike flavor. Finally, we moved the
beer to a bottle for a final fermentation that cleaned
and carbonated this beer to be ready for the glass.",,Against the Grain Brett The Hipman Hop,11,Sour/Wild Ale,Against the Grain Brewery,65,,/,97,59,KENTUCKY,85,
10.2%,"A collaboration with Dry and Bitter Brewery from Copenhagen, Denmark. A solid base of pale ale malt, generous additions of rye malt and roasted barley lend this stout a ton of complexity. Feel yourself hover above the ground, feel light and airy just like you would with the Danes. This beer is what you want to feel like a light has been turned on inside your body, let yourself be illuminated with the power of a Danish stout. Cheese danishes are not included, bring your own.",/upload/post.asp?m=1&Id=391786,Against the Grain / Dry & Bitter Your Lytest One,10,Imperial Stout,Against the Grain Brewery,306,,3.86/5.0,97,23,KENTUCKY,66,3.73
12%,"Barreled Black IPA, our Heart of Dankness aged five months in Elmer T. Lee Bourbon barrels. Tastes as epic as your hangover will feel!",,Country Boy Infinite Sadness,9,Black IPA,Country Boy Brewing,360,,3.89/5.0,97,19,KENTUCKY,95,3.73
11%,Russian Imperial Stout aged in Woodford Reserve barrels with a supporting tart Michigan cherry fruit character.,/upload/post.asp?m=1&Id=133853,Bluegrass Cherry Inyouendo,8,Imperial Stout,Bluegrass Brewing Company,330,,3.91/5.0,97,23,KENTUCKY,62,3.66
11%,,/upload/post.asp?m=1&Id=74375,Bluegrass Bourbon Barrel Russian Imperial Porter,7,Imperial Porter,Bluegrass Brewing Company,330,,3.92/5.0,97,16,KENTUCKY,80,3.73
abv,beer_desc,beer_img,beer_name,beer_rank,beer_style,brewer,est_cal,ibu,mean,overall_score,review_count,state,style_score,wgt_avg
,"Are you an IPA fan?
If you answered yes you are in luck! If you answered no, don’t sweat it, this brew is for you too.
An IPA that weighs in at 7.0% ABV and boast a range of hops that puts it at 70IBU’s this IPA will go down smooth. This brew has a pleasant citrus/piney aroma so pleasing your nose won’t want your mouth to steal the moment! A woodsy initial taste leaves just the right amount of bitterness lingering on your palate, it finishes smooth with pleasing tones and urges you to have another! Feelin’ Naughty??",,Salty Nut HopNaughty IPA,25,India Pale Ale (IPA),Salty Nut Brewery,,228,3.63/5.0,84,10,ALABAMA,68,3.44
,This years batch is a Spelt Saison brewed with Motueka hops and Hibiscus! And Brett of course.,,Anchorage 2016 Rondy Brew Saison,25,Saison,Anchorage Brewing Company,30,,/,98,44,ALASKA,97,
13%,"Safeword aged on coffee, cocoa nibs, cinnamon and chiles.",,Superstition Amante ,25,Mead,Superstition Meadery,390,,4.19/5.0,99,16,ARIZONA,98,3.95
5%,"Expect a robust, slightly sweet malt character on the front of the tongue, notes of alpine flowers and just-baked bread as it goes back through the palate. A clean, mildly bitter finish to round things off. A delicious classic pilsner. Hops: Mt. Hood, Saaz",,Lost Forty Bare Bones Pilsner,25,Pilsener,Lost Forty Brewing,150,27,3.28/5.0,47,9,ARKANSAS,,3.17
12.4%,"Remy is a travel buddy whose life, at times, has rivaled that of the world’s most interesting men--free-spirited, adventurous, and with a penchant for fast women, whiskey, and beer: the perfect inspiration for something truly special. For Remy’s Pappy, we filled barrels from an exceptional bourbon distillery with our award-winning Imperial Russian Stout and let them sleep for many months. The transformation results in a beer similar to our original Remy: rich and roasty, with incredible flavors of marshmallow, coconut, and dark fruit, with additional layers of chocolate ganache and rare whiskey goodness. Enjoy!",,Taps Remy's Pappy,25,Imperial Stout,Taps Fish House and Brewery,372,,/,100,73,CALIFORNIA,99,
6%,Wild ale fermented in oak foeders with raspberries and lactose,,Crooked Stave / Omnipollo Bianca Raspberry Wild Wild Brett,25,Sour/Wild Ale,Crooked Stave,180,,/,99,43,COLORADO,99,
,"Out of a marriage of our love for things sour and hoppy, comes Alternate World! A 4.6% dry hopped gose. A fermentation with our house brettanomyces strain and souring cultures creates succulent, tart and fruity flavors, balanced by a hint of salt and big American hops to pucker your cheeks and leave with you with a cleansed palate awaiting the next sip. The modest alcohol content allows all of the flavors to shine and remain in balance for a super sessionable thirst quenching beer bound to refresh in the hot summer weather.",,Kent Falls Alternate World,25,Grodziskie/Gose/Lichtenhainer,Kent Falls Brewing,,138,3.82/5.0,96,20,CONNECTICUT,97,3.68
9.6%,This American barleywine has a dominant malty sweetness that is balanced by a huge presence of American hops.  The hops give this beer a citrus-like hop flavor.  Further dry-hopped for added hop aroma.,,Iron Hill Sasquatch,25,Barley Wine,Iron Hill Wilmington,288,,/,97,52,DELAWARE,87,
10.4%,"Blend of our favorite Prichard’s whiskey barrels: single malt whiskey, rye whiskey, and Tennessee whiskey.",,Cycle Pallet 2,25,Imperial Stout,Cycle Brewing,312,,/,100,58,FLORIDA,98,
6.4%,"With 11 different grains used in the brewing process, this is one of the more complex stouts out there.  Several different roasted barleys, wheats, oats, and caramelized grains yield hints of bread, toffee, dark fruits, chocolate and coffee.  Just enough hops for balance, and a traditional English yeast for true stout character.",,Wrecking Bar Jemmy American Stout,25,Stout,Wrecking Bar Brewpub,192,42,/,98,44,GEORGIA,99,
,,,Kona Coconut Brown Ale,25,Brown Ale,Kona Brewing Company,,165,3.59/5.0,83,12,HAWAII,93,3.43
6.2%,"Hop Dog is a fresh Hop pale ale. Brewed once a year at harvest season, it is a Light hoppy pale ale with lots of green grassy hop notes.",/upload/post.asp?m=1&Id=94526,Laughing Dog Hop Dog Harvest Pale Ale,25,American Pale Ale,Laughing Dog Brewing,186,,3.69/5.0,94,27,IDAHO,97,3.59
,American barleywine aged with cherries in wood.,/upload/post.asp?m=1&Id=80385,Three Floyds Behemoth - Bourbon & Cherries,25,Barley Wine,Three Floyds Brewing Company,,375,/,99,72,INDIANA,97,
,"A play on Josh’s name, this Russian imperial stout is aged in four different types of bourbon barrels (Old Fitzgerald, Old Forester, Elijah Craig, and Evan Williams), then blended for the resulting thick and dark brew. If you had a chance to taste Alderaan, this is the aged version.",,Revolution Deth's Tar,25,Imperial Stout,Revolution Brewing Company,,342,/,99,142,ILLINOIS,91,
,,,Toppling Goliath Galaxy Dry Hopped pseudoSue,25,American Pale Ale,Toppling Goliath,,174,3.91/5.0,98,19,IOWA,99,3.75
,"This beer employs a blend of 5 malts and some unmalted oats that add some silky qualities to the mouthfeel. Columbus and Crystal hops provide bitterness and some flavor. A relatively new hop variety called Citra, with tropical fruit and citrus aromas and flavors, provides the amazing finish of this IPA.

Josiah Miller was an anti-slavery man born and raised in the South Carolina. In the 1850s Miller migrated to Lawrence after receiving a law degree at the University of Indiana and started the publication of Kansas Free State, an anti-slavery newspaper. In 1857 he was elected probate judge of Douglas County and was a member of the first state senate in 1861. As chairman of the judiciary committee, Miller suggested the motto on the state seal, Ad Astra per Aspera. Miller was interned at Lawrence’s Oak Hill cemetery upon his death in 1870 due to complications from an amputated leg.",/upload/post.asp?m=1&Id=118114,Free State Josiah Miller IPA,25,India Pale Ale (IPA),Free State Brewing Company,,189,3.68/5.0,90,18,KANSAS,85,3.55
11%,71 IBUs,,Bluegrass Russian Imperial Porter,25,Imperial Porter,Bluegrass Brewing Company,330,,/,94,96,KENTUCKY,52,
,"Quaff Bros. Chicago Style Breakfast Stout is a take on French Toast, Chicago style French Toast with loads of syrup, powder sugar and a wonderful cup of coffee to coincide. But this French Toast, much like the beer, is very unique. It also includes a runny egg in the middle, fried chicken and strawberries. Although we left out the egg and chicken (this time), we made sure that a touch of strawberry made it into the beer. Quaff Bros. Chicago Style Breakfast Stout is a 14.7% ABV Stout aged in Bourbon barrels with molasses, coffee and a touch of strawberry. This project was made for us by the talented team at Rivertown and we want to use this platform to thank them for their wonderful work and execution.",/upload/post.asp?m=1&Id=454732,Quaff Bros. Chicago Style Breakfast Stout,24,Imperial Stout,Quaff Bros.,,441,3.86/5.0,94,11,KENTUCKY,47,3.63
,Quaff Bros. Catalina Wine Mixer is a collaboration with Against The Grain. It is ATG 70K (13% ABV Imperial Stout) aged in Bourbon Barrels with the addition of Red Wine soaked oak chips.,,Quaff Bros. Catalina Wine Mixer,23,Imperial Stout,Quaff Bros.,,390,3.9/5.0,94,10,KENTUCKY,47,3.63
11%,"American Style barleywine: so named because of its high, wine-like alcohol content and the usage of American hops. Deep amber in color and full bodied, with a blend of fruitiness, maltiness and hop bitterness to balance.",,Bluegrass Bearded Pats Barleywine Style Ale,22,Barley Wine,Bluegrass Brewing Company,330,,/,95,179,KENTUCKY,74,
9%,Imperial Black Ale. Red wine barrel aged.,,Against the Grain Gnight Ryder,21,Black IPA,Against the Grain Brewery,270,,/,95,45,KENTUCKY,90,
13%,"Russian Imperial Stout Aged in Bourbon Barrels.   Part of the ""Stave It For Later - Barrel Series"".",/upload/post.asp?m=1&Id=536583,Against the Grain Pretty Willie's Imperial Stout,20,Imperial Stout,Against the Grain Brewery,390,,3.94/5.0,95,10,KENTUCKY,51,3.66
8.2%,"An India Pale Ale featuring Nelson Sauvin hops. Named after the Sauvignon Blanc grape, is a variety of hop developed and grown in New Zealand. It has a strong fruity flavor and aroma that is described as resembling white wine, or fresh crushed grapes or gooseberries. Some reviewers of this hop perceive the fruitiness as being very tropical with deScriptions including passion fruit, tangerines, and grapefruit.",,Against the Grain Rico Sauvin,19,Imperial IPA,Against the Grain Brewery,246,68,/,95,259,KENTUCKY,82,
8.2%,"This beer is not candy or mother’s milk. It is not brewed by gypsies or aliens, nor does it contain any zombie dirt. This is an American Style IPA brewed with Citra Hops. It is citrusy, sticky, hoppy and delicious. Simply drink it and enjoy it. Don’t hoard this beer, Citra Ass Down and drink it now.",,Against the Grain Citra Ass Down,18,Imperial IPA,Against the Grain Brewery,246,68,/,96,431,KENTUCKY,83,
7%,"Not your typical ""Jelly of the Month Club"" beer. Dark roasted malt and bittersweet cocoa and coffee flavor and aroma burst from this pitch black milk stout. The full body and sweetness are derived from the addition of lactose (aka milk sugar) which is not fermentable by beer yeast. A healthy dose of English Kent Goldings hops provides a counterpoint to this ale’s rich and complex maltiness.",,Against the Grain 35K Stout,17,Sweet Stout,Against the Grain Brewery,210,26,/,96,330,KENTUCKY,96,
9.5%,"Double brown ale aged in bourbon barrels in honor of the greatest rock and roll band on this or any other time: JACKYL. Drinking this fine beer will make you feel like the sun is shining down on you, and the heat of love’s flames, down on you. You’ll love the thought of me coming... down on you. This is only weird if you make it that way.
PS. We won’t make any beers about pussy rock ballads, I promise!",,Against the Grain Jackyale,16,Brown Ale,Against the Grain Brewery,285,35,3.84/5.0,96,19,KENTUCKY,99,3.69
12.5%,"This big barleywine is malty and chewy as well as packed full of aromatic and flavorful New Zealand hops.  Over a ton of malt went into the mash on this beast.  Pale malt forms the base and additions of wheat, Victory malt, and British caramel malt give a complex character that comes through as toffee, caramel, and dark fruits.  A blend of Pacific Gem, Topaz, Wakatu, Motueka, and Nelson Sauvin hops lend notes of vanilla, tropical fruits, earthy spice, and citrus.  There’s a lot going on here, just like in the Lord of the Rings.  Take your time, and enjoy it all!",/upload/post.asp?m=1&Id=205477,Against the Grain The Green Dragon,15,Barley Wine,Against the Grain Brewery,375,115,/,96,52,KENTUCKY,83,
12%,Our imperial stout aged in 20 year pappy van winkle barrels.,/upload/post.asp?m=1&Id=200777,West Sixth Snakes In A Barrel ,14,Imperial Stout,West Sixth Brewing Company,360,,3.97/5.0,96,10,KENTUCKY,58,3.69
,"This American-style imperial stout is strong at an 11% ABV, but not too chewy for a high gravity beer.  Malt bill includes 8 different grains for complexity, and it’s hopped with Northern Brewer and Columbus hops.",,West Sixth Snake Eyes Imperial Stout ,13,Imperial Stout,West Sixth Brewing Company,,330,3.79/5.0,97,38,KENTUCKY,64,3.71
,This wild red ale (Flanders Red) has been maturing in American oak barrels for 2 years with additions of wild yeast and bacteria. Distinct wine-like notes of plum and raisin are backed up by a subtle tartness with an underlying foundation of caramel malt and oak tannin,,Country Boy 4th Anniversary Wild Red Ale,12,Sour Red/Brown,Country Boy Brewing,,270,3.93/5.0,97,13,KENTUCKY,84,3.71
,"A solid dose of light pilsner malt along with a variety of
similarly undermodified German-style malts gave us a
crisp, clean base to work with. Then we got it All
Funked Up. Generous additions of Apollo and
Vanguard hops created a substantial flavor of citrus
peel and floral spice as well as plenty of IBUs for such
a mild malt bill. Ale yeast was then used for primary
fermentation before adding a blend of three strains of
Brettanomyces. These superattenuating little bugs
were allowed to thoroughly ferment out many complex
sugars and leave behind their characteristic (and very
apparent) wild and funky flavors. After about four and
a half months, we added a fresh addition of whole leaf
Amarillo hops that spent about a week imparting a
citrusy, almost candylike flavor. Finally, we moved the
beer to a bottle for a final fermentation that cleaned
and carbonated this beer to be ready for the glass.",,Against the Grain Brett The Hipman Hop,11,Sour/Wild Ale,Against the Grain Brewery,65,,/,97,59,KENTUCKY,85,
10.2%,"A collaboration with Dry and Bitter Brewery from Copenhagen, Denmark. A solid base of pale ale malt, generous additions of rye malt and roasted barley lend this stout a ton of complexity. Feel yourself hover above the ground, feel light and airy just like you would with the Danes. This beer is what you want to feel like a light has been turned on inside your body, let yourself be illuminated with the power of a Danish stout. Cheese danishes are not included, bring your own.",/upload/post.asp?m=1&Id=391786,Against the Grain / Dry & Bitter Your Lytest One,10,Imperial Stout,Against the Grain Brewery,306,,3.86/5.0,97,23,KENTUCKY,66,3.73
12%,"Barreled Black IPA, our Heart of Dankness aged five months in Elmer T. Lee Bourbon barrels. Tastes as epic as your hangover will feel!",,Country Boy Infinite Sadness,9,Black IPA,Country Boy Brewing,360,,3.89/5.0,97,19,KENTUCKY,95,3.73
11%,Russian Imperial Stout aged in Woodford Reserve barrels with a supporting tart Michigan cherry fruit character.,/upload/post.asp?m=1&Id=133853,Bluegrass Cherry Inyouendo,8,Imperial Stout,Bluegrass Brewing Company,330,,3.91/5.0,97,23,KENTUCKY,62,3.66
11%,,/upload/post.asp?m=1&Id=74375,Bluegrass Bourbon Barrel Russian Imperial Porter,7,Imperial Porter,Bluegrass Brewing Company,330,,3.92/5.0,97,16,KENTUCKY,80,3.73
,"English style barleywine aged in Angel’s Envy bourbon barrels. Brewed with enough Maris Otter pale, Aromatic and caramel malts to nearly overflow our mash tun. We then balanced this beer with some English Nugget and Kent Goldings hops. The resulting ale was sweet, nutty and powerful, but we didn’t stop there. The entire batch was put into used Angel’s Envy barrels for nearly 3 months to gather the residual bourbon flavor and some aromatic and drying oak notes. By the way, Balling is a measurement of specific gravity.",,Against the Grain London Balling,6,Barley Wine,Against the Grain Brewery,80,,/,98,174,KENTUCKY,93,
,"This giant imperial rye stout is the result of our collaboration with the Danish brewers from ToØl. In true Danish style, it is austere and utterly humorless. Deep in the heart of its double mash lies a cornucopia of dark, flavorful malts. The discerning palate will detect chocolate, rye, biscuit, and faint peat notes in each sip. The raw power of Magnum and Chinook hops were used to battle this beer into a variety of different woods. Most of the batch aged in used bourbon barrels, but some of it saw scotch barrels, port barrels, ash, hickory, red oak, white oak, cherrywood, and more. Check your keg for what wooded nectar is in your glass.",/upload/post.asp?m=1&Id=211947,Against the Grain / To �l An Ale Pleasure,5,Imperial Stout,Against the Grain Brewery,85,,/,99,50,KENTUCKY,83,
9.5%,"Imperial Stout with lactose, blueberries and aged in Pappy Van Winkle barrels.",,Quaff Bros. Blue Melvin,4,Imperial Stout,Quaff Bros.,285,,4.07/5.0,99,15,KENTUCKY,86,3.84
,Follow the Muler family on a cross-country adventure buying more Beer than they should. Friendships are born and broken and the meaning of life comes into question. Mind-blowing bottle shares and owner/brewmaster confrontations await this thirsty bunch as they search for the full allotment! Starring Dark Apparition and Oil of Aphrodite in a bourbon barrel aged production.,,Quaff Bros. Full Allotment,3,Imperial Stout,Quaff Bros.,,357,4.02/5.0,99,33,KENTUCKY,91,3.91
13%,"Orange Wax (or Reddish orange).  Originally an Against the Grain Brewery and Brouwerij De Molen collaboration beer.  For the first incarnation, De Molen head brewer Menno Oliver hopped in a muscle car and drove straight through from the Netherlands to Louisville, KY (that’s USA folks) to brew this bourbon inspired ale, and we liked it so much, we decided to do it again.  We took the ingredients in bourbon whiskey (Barley, Rye, Corn) and then smoked them with cherry wood and brewed a huge imperial stout with them.  Then to top it off we aged it in Pappy VanWinkle Bourbon Barrels.  The resulting beer is rich, smokey and complex, with a bourbon character of caramel, vanilla and spice. Bottle has orange reddish orange) wax top. Only the first version was aged in Pappy barrels. For further information see - http://www.ratebeer.com/forums/bo-luke-initial-release-vs-later-bottles_256787.htm",,Against the Grain / De Molen Bo & Luke,2,Imperial Stout,Against the Grain Brewery,390,86,/,100,317,KENTUCKY,96,
13.1%,"Taking awesome and doubling it can only be double awesome. It’s math.

This is essentially the 35K recipe doubled. Double roasty, double chocolatey, double creamy, double delicious. Then we decided to make it 2.5X awesome by aging it in Angel’s Envy barrels for a really, really long time. The bourbon and oak flavors perfectly compliment the massive flavors in the double mega imperial milk stout. You don’t swim in this beer, it swims in you!",,Against the Grain 70K,1,Imperial Stout,Against the Grain Brewery,393,48,/,100,138,KENTUCKY,97,
